Collision_ID,Crash_Date,Vehicle_Type
4464287,02-10-2021 09:40,Sedan
4464147,02-10-2021 09:43,SUV
4463359,02-10-2021 09:45,Two Wheeler
4464447,02-10-2021 09:50,Sedan
4463894,02-10-2021 09:52,SUV
4463928,02-10-2021 10:00,SUV
4463589,02-10-2021 10:00,Heavy Vehicle
4463863,02-10-2021 10:05,Sedan
4464062,02-10-2021 10:18,Sedan
4463662,02-10-2021 10:20,SUV
4463477,02-10-2021 10:40,Two Wheeler
4463458,02-10-2021 10:45,Sedan
4463631,02-10-2021 10:55,Sedan
4465432,02-10-2021 11:00,SUV
4463678,02-10-2021 11:00,Sedan
4463397,02-10-2021 11:00,Sedan
4463642,02-10-2021 11:00,Sedan
4463623,02-10-2021 11:05,SUV
4463396,02-10-2021 11:08,Sedan
4464058,02-10-2021 11:09,Sedan
4463407,02-10-2021 11:14,Fire Engine
4464005,02-10-2021 11:24,Sedan
4464232,02-10-2021 11:30,Sedan
4463448,02-10-2021 11:30,Heavy Vehicle
4463432,02-10-2021 11:35,Sedan
4463933,02-10-2021 11:40,Sedan
4464441,02-10-2021 11:45,SUV
4464315,02-10-2021 11:45,SUV
4467182,02-10-2021 11:50,SUV
4464311,02-10-2021 11:50,SUV
4466156,02-10-2021 11:55,Sedan
4463820,02-10-2021 11:55,Ambulance
4463917,02-10-2021 11:57,SUV
4463643,02-10-2021 11:59,SUV
4464737,02-10-2021 12:00,SUV
4463534,02-10-2021 12:00,Sedan
4463686,02-10-2021 12:00,Sedan
4463693,02-10-2021 12:00,Two Wheeler
4464236,02-10-2021 12:08,Sedan
4464132,02-10-2021 12:10,Sedan
4463559,02-10-2021 12:21,Sedan
4464318,02-10-2021 12:30,SUV
4463563,02-10-2021 12:36,SUV
4463905,02-10-2021 12:40,SUV
4463822,02-10-2021 12:47,SUV
4463453,02-10-2021 12:50,SUV
4463471,02-10-2021 13:00,Sedan
4463991,02-10-2021 13:00,SUV
4463676,02-10-2021 13:14,Sedan
4463794,02-10-2021 13:26,Sedan
4463982,02-10-2021 13:30,Sedan
4466157,02-10-2021 13:37,SUV
4470096,02-10-2021 13:38,SUV
4465598,02-10-2021 13:40,SUV
4464632,02-10-2021 13:40,Sedan
4463550,02-10-2021 13:40,Two Wheeler
4465923,02-10-2021 13:45,SUV
4464237,02-10-2021 13:49,Sedan
4463565,02-10-2021 14:00,Sedan
4464032,02-10-2021 14:11,Sedan
4464197,02-10-2021 14:15,SUV
4463506,02-10-2021 14:20,Two Wheeler
4464438,02-10-2021 14:27,SUV
4463664,02-10-2021 14:30,SUV
4463687,02-10-2021 14:30,Sedan
4463606,02-10-2021 14:34,Sedan
4463598,02-10-2021 14:35,Sedan
4463625,02-10-2021 14:45,Sedan
4463572,02-10-2021 14:57,Sedan
4464314,02-10-2021 15:00,Sedan
4463837,02-10-2021 15:05,Sedan
4463739,02-10-2021 15:15,Sedan
4464198,02-10-2021 15:15,SUV
4464526,02-10-2021 15:26,Two Wheeler
4463864,02-10-2021 15:28,SUV
4464011,02-10-2021 15:30,Sedan
4464146,02-10-2021 15:42,Heavy Vehicle
4465609,02-10-2021 15:45,Sedan
4470331,02-10-2021 15:48,Sedan
4465817,02-10-2021 15:50,Sedan
4464014,02-10-2021 15:55,Sedan
4463906,02-10-2021 15:58,Sedan
4464210,02-10-2021 16:00,Sedan
4463549,02-10-2021 16:00,Two Wheeler
4463528,02-10-2021 16:05,SUV
4463976,02-10-2021 16:10,SUV
4464302,02-10-2021 16:10,Bus
4464013,02-10-2021 16:15,SUV
4463711,02-10-2021 16:18,Sedan
4463544,02-10-2021 16:20,Sedan
4471483,02-10-2021 16:24,Sedan
4463954,02-10-2021 16:24,Sedan
4463584,02-10-2021 16:25,Heavy Vehicle
4463998,02-10-2021 16:35,Two Wheeler
4464097,02-10-2021 16:39,Sedan
4465037,02-10-2021 16:40,Sedan
4463610,02-10-2021 16:41,Taxi
4463885,02-10-2021 16:45,Sedan
4464027,02-10-2021 16:48,SUV
4463595,02-10-2021 16:50,Sedan
4463869,02-10-2021 16:50,Two Wheeler
4464131,02-10-2021 16:57,Sedan
4463671,02-10-2021 17:07,Sedan
4463990,02-10-2021 17:15,Sedan
4463701,02-10-2021 17:20,Sedan
4463939,02-10-2021 17:35,Two Wheeler
4465509,02-10-2021 17:42,SUV
4464582,02-10-2021 17:48,Sedan
4463815,02-10-2021 17:50,Heavy Vehicle
4463569,02-10-2021 17:50,Sedan
4463916,02-10-2021 17:53,SUV
4466005,02-10-2021 18:00,SUV
4463694,02-10-2021 18:00,Sedan
4464439,02-10-2021 18:00,SUV
4463613,02-10-2021 18:00,SUV
4463740,02-10-2021 18:21,Sedan
4463723,02-10-2021 18:30,SUV
4463961,02-10-2021 18:33,Sedan
4464170,02-10-2021 18:42,Sedan
4463870,02-10-2021 18:45,SUV
4463688,02-10-2021 18:47,Heavy Vehicle
4466355,02-10-2021 18:53,SUV
4466183,02-10-2021 18:53,Taxi
4463575,02-10-2021 18:55,Sedan
4463567,02-10-2021 19:00,SUV
4463581,02-10-2021 19:00,Sedan
4467101,02-10-2021 19:05,SUV
4464164,02-10-2021 19:06,SUV
4463666,02-10-2021 19:09,Sedan
4463871,02-10-2021 19:10,Sedan
4463560,02-10-2021 19:12,SUV
4466178,02-10-2021 19:13,Two Wheeler
4464696,02-10-2021 19:15,SUV
4463944,02-10-2021 19:15,Sedan
4463608,02-10-2021 19:15,Taxi
4464069,02-10-2021 19:23,SUV
4463624,02-10-2021 19:26,Sedan
4463724,02-10-2021 19:30,Two Wheeler
4463695,02-10-2021 19:34,Two Wheeler
4463568,02-10-2021 19:35,Taxi
4463929,02-10-2021 19:35,SUV
4463742,02-10-2021 19:45,Two Wheeler
4463592,02-10-2021 19:50,Heavy Vehicle
4463912,02-10-2021 19:50,SUV
4464326,02-10-2021 19:51,SUV
4464905,02-10-2021 19:54,Sedan
4463596,02-10-2021 19:55,Taxi
4469524,02-10-2021 20:00,SUV
4463597,02-10-2021 20:00,SUV
4463605,02-10-2021 20:00,SUV
4464417,02-10-2021 20:00,SUV
4463632,02-10-2021 20:00,Two Wheeler
4464967,02-10-2021 20:15,Sedan
4464037,02-10-2021 20:15,SUV
4463689,02-10-2021 20:15,Two Wheeler
4463648,02-10-2021 20:20,Taxi
4463839,02-10-2021 20:22,Taxi
4465284,02-10-2021 20:30,Sedan
4464060,02-10-2021 20:30,SUV
4463968,02-10-2021 20:30,Sedan
4464136,02-10-2021 20:32,Sedan
4464196,02-10-2021 20:34,SUV
4463604,02-10-2021 20:40,Sedan
4468838,02-10-2021 21:00,SUV
4464224,02-10-2021 21:00,Sedan
4463582,02-10-2021 21:00,Sedan
4464560,02-10-2021 21:00,Two Wheeler
4463725,02-10-2021 21:03,SUV
4463616,02-10-2021 21:04,SUV
4463601,02-10-2021 21:12,SUV
4464199,02-10-2021 21:20,SUV
4464190,02-10-2021 21:20,SUV
