Crash_Day,Crash_Date,Borough,Latitude,Longitude,Number_of_Persons_Injured,Aftermath of Accident,Number_of_Persons_Killed,Contributing_Factor,Collision_ID
Friday,01-10-2021 16:40,STATEN ISLAND,40.576504,-74.1037,1,Injured,0,Failure to Yield Right-of-Way,4464044
Friday,01-10-2021 16:41,QUEENS,40.759293,-73.92646,1,Injured,0,Passing or Lane Usage Improper,4463194
Friday,01-10-2021 16:44,BRONX,40.885204,-73.857544,0,No Injury,0,Driver Inattention,4463495
Friday,01-10-2021 16:48,BROOKLYN,40.694355,-73.976585,0,No Injury,0,Unsafe Speed,4463253
Friday,01-10-2021 17:00,BRONX,40.879345,-73.84797,0,No Injury,0,Unsafe Speed,4463498
Friday,01-10-2021 17:30,QUEENS,40.770527,-73.892654,0,No Injury,0,Fell Asleep,4463296
Friday,01-10-2021 17:31,BROOKLYN,40.646297,-73.91274,0,No Injury,0,Driver Inattention,4464087
Friday,01-10-2021 17:43,BROOKLYN,40.69635,-73.94071,1,Injured,0,Pedestrian Confusion,4463229
Friday,01-10-2021 17:45,BRONX,40.863327,-73.89921,0,No Injury,0,Unsafe Speed,4464018
Friday,01-10-2021 17:52,BROOKLYN,40.671925,-73.904526,0,No Injury,0,Unsafe Speed,4463703
Friday,01-10-2021 18:00,QUEENS,40.681046,-73.849304,1,Injured,0,Failure to Yield Right-of-Way,4465507
Friday,01-10-2021 18:02,MANHATTAN,40.7224,-73.99165,1,Injured,0,Pedestrian Confusion,4463469
Friday,01-10-2021 18:16,MANHATTAN,40.80256,-73.943,1,Injured,0,Traffic Control Disregarded,4463943
Friday,01-10-2021 18:19,BRONX,40.85071,-73.89408,0,No Injury,0,Pedestrian Confusion,4465193
Friday,01-10-2021 18:30,QUEENS,40.70729,-73.804245,0,No Injury,0,Unsafe Lane Changing,4464330
Friday,01-10-2021 18:37,BROOKLYN,40.601868,-73.98911,0,No Injury,0,Alcohol Involvement,4463278
Friday,01-10-2021 18:39,QUEENS,40.68815,-73.84884,0,No Injury,0,Road Rage,4463233
Friday,01-10-2021 19:00,QUEENS,40.664295,-73.83938,6,Injured,0,View Obstructed,4463793
Friday,01-10-2021 19:00,BROOKLYN,40.65743,-73.9451,1,Injured,0,Following Too Closely,4464090
Friday,01-10-2021 19:18,BRONX,40.86877,-73.83174,0,No Injury,0,Turning Improperly,4464865
Friday,01-10-2021 19:30,QUEENS,40.77051,-73.92547,0,No Injury,0,Failure to Yield Right-of-Way,4464661
Friday,01-10-2021 19:40,MANHATTAN,40.741642,-73.997444,0,No Injury,0,Driver Inattention,4463270
Friday,01-10-2021 19:40,QUEENS,40.76966,-73.92365,1,Injured,0,Outside Car Distraction,4463295
